id,Database,Query,Ground Truth,
0,shipping,"Which customers have shipments in June 2016, where the customers state is geographically adjacent to the shipments state?","[Eppies Discount Tire & Auto Centers, Kenner Welding Inc, Sunguard Window Tinting & Truck Accessories, R V City, Great Dane Trailers Inc]",
1,shipping,How many shipments did northeast USA customers make before the opening ceremony of the 2016 Olympics?,12,
2,restaurants2,Infer the region of origin of cuisines served at popular Yelp restaurants (votes > 3000) in the Northeastern city of the United States.,"[['China'], ['Global'], ['Italy'], ['Japan'], ['Italy'], ['United States'], ['Italy'], ['United States'], ['Japan']]",
3,restaurants2,How many restaurants in zomato with a rating no less than 4.7 serve seafoods?,10,
4,superhero,"List DC Comics superheroes that are taller than Michael Jordan, have red eyes, and possess a power related to agility?","['Amazo', 'Ares', 'Darkseid', 'Doomsday', 'Killer Croc', 'Martian Manhunter']",
5,formula_1,Classify circuits which host Grand Prix in 2016 by their location continent. Answer with the location and corresponding continent.,"[['Kuala Lumpur', 'Asia'], ['Sakhir', 'Asia'], ['Montmel', 'Europe'], ['Monte-Carlo', 'Europe'], ['Montreal', 'North America'], ['Silverstone', 'Europe'], ['Hockenheim', 'Europe'], ['Budapest', 'Europe'], ['Spa', 'Europe'], ['Monza', 'Europe'], ['Marina Bay', 'Asia'], ['Shanghai', 'Asia'], ['So Paulo', 'South America'], ['Suzuka', 'Asia'], ['Abu Dhabi', 'Asia'], ['Mexico City', 'North America'], ['Austin', 'North America'], ['Spielburg', 'Europe'], ['Sochi', 'Europe'], ['Baku', 'Asia']]",
6,formula_1,Summarize performance of drivers who have Top10 fastest average lap time in 2016 Malaysia Grand Prix.,-,
7,california_schools,How many charter schools are located north than Sacramento have been closed?,32,
8,california_schools,List School that posesses Top 30 FRPM counts with a human-sounding name.,"['John H. Francis Polytechnic', 'Hector G. Godinez', 'James A. Garfield Senior High']",
9,california_schools,"List all counties that have an Elementary school with an Percent (%) Eligible FRPM (K-12) less than 1%, and sort them by population in descending order.","['Los Angeles', 'Santa Clara', 'Alameda', 'Contra Costa', 'San Mateo', 'Marin']",
10,electronics,"Among Top 10 expensive electronic products sold on Amazon, how many of their manufacture originates outside USA and has a 8GB memory?",4,
11,debit_card_specializing,How many transactions in 2012-08-26 happened in CZE payed in CZK are larger than 10 US dollars.,49,
